Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
R S YADAV SMART BUS PRIVATE LIMITED,VE A/C Sleeper (2+1),22:15,04:15,06h 00m,759,30 Seats available,"4.4
84",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
Vijay Tour and Travels,A/C Seater / Sleeper (2+1),02:20,07:10,04h 50m,INR 649,23 Seats available,"2.6
77",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
New Khaira Transport,A/C Seater / Sleeper (2+2),21:00,03:30,06h 30m,INR 450,43 Seats available,"1.8
44",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
New Khaira Transport,A/C Seater / Sleeper (2+1),20:40,03:30,06h 50m,630,27 Seats available,"1.9
10",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
SHRI RAM TRAVELS,A/C Seater (2+2),23:59,05:15,05h 16m,INR 740,18 Seats available,"3.9
22",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
FlixBus,Bharat Benz A/C Seater (2+2),23:35,05:00,05h 25m,INR 322,29 Seats available,"5.0
7",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
New Khaira TPT,A/C Seater / Sleeper (2+2),21:00,03:00,06h 00m,INR 550,44 Seats available,3.3,https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
New Khaira TPT,AC Sleeper (2+1),20:30,02:50,06h 20m,INR 900,30 Seats available,"3.3
14",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
Vijay Tour and Travels,A/C Seater / Sleeper (2+1),03:20,08:10,04h 50m,INR 599,34 Seats available,2.9,https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
SHRI RAM TRAVELS,A/C Seater (2+2),18:00,23:15,05h 15m,INR 740,19 Seats available,"3.4
10",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
UPSRTC - ORI0122,Ordinary Non AC Seater 2+3,02:15,06:00,03h 45m,INR 255,52 Seats available,3.3,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,Aligarh (uttar pradesh) to Delhi
UPSRTC - FTP0023,Rajdhani Non AC Seater 2+3,02:45,06:30,03h 45m,INR 252,51 Seats available,3.3,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,Aligarh (uttar pradesh) to Delhi
UPSRTC - BDV0082,Ordinary Non AC Seater 2+3,04:28,07:52,03h 24m,INR 203,52 Seats available,3.3,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,Aligarh (uttar pradesh) to Delhi
